,carat,cut,color,clarity,depth,table,x,y,z,carat_range,price_predicted
788,0.35,Ideal,F,VS2,62.5,57.0,4.5,4.53,2.82,bucket_1,2119.582799634035
789,0.73,Very Good,I,VVS2,62.3,58.0,5.75,5.78,3.59,bucket_1,2119.582799634035
790,0.38,Ideal,H,SI1,62.0,54.0,4.66,4.72,2.91,bucket_1,2119.582799634035
791,0.4,Ideal,G,VVS1,60.2,60.0,4.78,4.82,2.89,bucket_1,2119.582799634035
792,0.41,Premium,J,VVS1,62.2,59.0,4.75,4.71,2.94,bucket_1,2119.582799634035
793,0.75,Very Good,D,SI2,63.6,58.0,5.71,5.76,3.65,bucket_1,2119.582799634035
794,0.3,Ideal,F,IF,62.1,54.0,4.32,4.35,2.69,bucket_1,2119.582799634035
795,0.38,Very Good,E,VS2,60.3,58.0,4.67,4.72,2.83,bucket_1,2119.582799634035
796,0.43,Ideal,I,VVS1,63.0,56.0,4.86,4.83,3.05,bucket_1,2119.582799634035
797,0.75,Premium,E,VS2,62.1,57.0,5.9,5.79,3.63,bucket_1,2119.582799634035
798,0.7,Very Good,D,VS2,61.8,55.0,5.68,5.72,3.52,bucket_1,2119.582799634035
799,0.31,Ideal,E,SI1,62.7,54.0,4.36,4.35,2.73,bucket_1,2119.582799634035
800,0.31,Ideal,G,IF,61.9,53.0,4.36,4.39,2.71,bucket_1,2119.582799634035
801,0.51,Ideal,F,VS2,62.8,57.0,5.1,5.06,3.19,bucket_1,2119.582799634035
802,0.59,Very Good,H,SI1,61.8,56.0,5.39,5.43,3.35,bucket_1,2119.582799634035
803,0.34,Very Good,G,SI1,63.4,57.0,4.4,4.45,2.81,bucket_1,2119.582799634035
804,0.31,Premium,F,IF,61.6,58.0,4.37,4.33,2.68,bucket_1,2119.582799634035
805,0.3,Ideal,F,VVS1,61.5,56.0,4.32,4.36,2.67,bucket_1,2119.582799634035
806,0.61,Ideal,H,SI1,61.9,54.0,5.44,5.48,3.38,bucket_1,2119.582799634035
807,0.7,Premium,E,VVS1,61.7,59.0,5.67,5.71,3.51,bucket_1,2119.582799634035
808,0.36,Ideal,F,SI1,60.1,56.0,4.62,4.67,2.79,bucket_1,2119.582799634035
809,0.58,Ideal,E,VS1,62.6,56.0,5.33,5.27,3.32,bucket_1,2119.582799634035
810,0.3,Good,D,SI2,63.2,57.0,4.21,4.24,2.67,bucket_1,2119.582799634035
811,0.5,Very Good,E,VS2,63.2,56.0,5.06,5.03,3.19,bucket_1,2119.582799634035
812,0.37,Premium,H,VS2,59.5,61.0,4.67,4.64,2.77,bucket_1,2119.582799634035
813,0.4,Ideal,H,SI1,62.6,52.0,4.73,4.76,2.97,bucket_1,2119.582799634035
814,0.34,Ideal,H,VS2,62.6,54.0,4.45,4.5,2.8,bucket_1,2119.582799634035
815,0.3,Good,I,IF,63.3,56.0,4.21,4.26,2.68,bucket_1,2119.582799634035
816,0.7,Very Good,D,SI2,63.1,58.0,5.63,5.57,3.53,bucket_1,2119.582799634035
817,0.25,Ideal,G,VS1,62.0,54.0,4.06,4.07,2.52,bucket_1,2119.582799634035
818,0.7,Ideal,E,SI2,61.2,55.0,5.76,5.68,3.5,bucket_1,2119.582799634035
819,0.4,Premium,H,VS1,62.4,60.0,4.69,4.74,2.94,bucket_1,2119.582799634035
820,0.51,Good,J,VS2,63.1,56.0,5.1,5.13,3.23,bucket_1,2119.582799634035
821,0.31,Premium,H,IF,60.8,59.0,4.39,4.36,2.66,bucket_1,2119.582799634035
822,0.52,Ideal,I,SI1,61.8,56.0,5.15,5.18,3.19,bucket_1,2119.582799634035
823,0.71,Premium,G,SI1,60.4,59.0,5.81,5.75,3.49,bucket_1,2119.582799634035
824,0.38,Very Good,E,VVS1,60.0,59.0,4.66,4.68,2.8,bucket_1,2119.582799634035
825,0.3,Ideal,F,VVS1,61.8,57.0,4.3,4.34,2.67,bucket_1,2119.582799634035
826,0.56,Ideal,H,IF,61.3,56.0,5.32,5.35,3.27,bucket_1,2119.582799634035
827,0.71,Very Good,G,SI1,62.3,57.0,5.7,5.76,3.57,bucket_1,2119.582799634035
828,0.57,Very Good,E,SI2,59.7,57.0,5.4,5.48,3.25,bucket_1,2119.582799634035
829,0.42,Very Good,D,SI1,63.0,57.0,4.77,4.81,3.02,bucket_1,2119.582799634035
830,0.32,Ideal,E,VS2,62.7,55.0,4.38,4.36,2.74,bucket_1,2119.582799634035
831,0.36,Ideal,F,SI1,59.7,57.0,4.69,4.72,2.81,bucket_1,2119.582799634035
832,0.34,Premium,G,SI1,60.8,59.0,4.56,4.46,2.74,bucket_1,2119.582799634035
833,0.5,Good,H,VVS1,63.3,57.0,5.02,5.06,3.19,bucket_1,2119.582799634035
834,0.3,Very Good,F,SI2,62.6,61.0,4.2,4.24,2.64,bucket_1,2119.582799634035
835,0.34,Ideal,E,SI1,62.2,54.0,4.47,4.5,2.79,bucket_1,2119.582799634035
836,0.7,Very Good,D,SI1,59.4,63.0,5.76,5.78,3.43,bucket_1,2119.582799634035
837,0.3,Very Good,H,VS1,63.3,56.0,4.3,4.26,2.71,bucket_1,2119.582799634035
838,0.5,Good,E,SI2,58.2,59.0,5.24,5.27,3.06,bucket_1,2119.582799634035
839,0.7,Premium,D,SI2,60.6,58.0,5.75,5.7,3.47,bucket_1,2119.582799634035
840,0.34,Premium,D,SI2,60.6,60.0,4.53,4.48,2.73,bucket_1,2119.582799634035
841,0.42,Ideal,G,VVS1,62.0,56.0,4.81,4.84,2.99,bucket_1,2119.582799634035
842,0.34,Very Good,H,VVS2,63.0,55.0,4.44,4.48,2.81,bucket_1,2119.582799634035
843,0.56,Premium,G,VS1,61.2,60.0,5.3,5.26,3.23,bucket_1,2119.582799634035
844,0.34,Premium,E,SI1,61.9,59.0,4.48,4.44,2.76,bucket_1,2119.582799634035
845,0.31,Ideal,E,VVS1,61.7,56.0,4.33,4.36,2.68,bucket_1,2119.582799634035
846,0.31,Ideal,F,VVS1,61.1,56.0,4.37,4.4,2.68,bucket_1,2119.582799634035
847,0.52,Premium,G,VS2,61.7,58.0,5.16,5.14,3.18,bucket_1,2119.582799634035
848,0.5,Very Good,E,VS1,62.7,56.0,5.09,5.12,3.2,bucket_1,2119.582799634035
849,0.32,Very Good,G,VS2,62.6,58.0,4.37,4.39,2.74,bucket_1,2119.582799634035
850,0.7,Very Good,I,VS2,62.2,59.0,5.64,5.71,3.53,bucket_1,2119.582799634035
851,0.3,Ideal,F,VVS1,61.9,54.0,4.35,4.37,2.7,bucket_1,2119.582799634035
852,0.51,Very Good,G,VVS2,63.5,55.0,5.09,5.05,3.22,bucket_1,2119.582799634035
853,0.71,Ideal,H,VS1,61.7,55.0,5.73,5.75,3.54,bucket_1,2119.582799634035
854,0.54,Ideal,E,SI1,61.3,56.0,5.22,5.25,3.21,bucket_1,2119.582799634035
855,0.46,Ideal,E,VS1,60.3,56.0,5.02,5.06,3.04,bucket_1,2119.582799634035
856,0.3,Ideal,D,VS2,61.5,55.0,4.35,4.3,2.66,bucket_1,2119.582799634035
857,0.32,Premium,D,VS2,58.8,59.0,4.52,4.49,2.65,bucket_1,2119.582799634035
858,0.32,Premium,I,VVS1,60.1,61.0,4.45,4.4,2.66,bucket_1,2119.582799634035
859,0.41,Good,F,I1,63.8,57.0,4.72,4.69,3.0,bucket_1,2119.582799634035
860,0.32,Ideal,I,VVS1,61.7,55.0,4.39,4.4,2.71,bucket_1,2119.582799634035
861,0.7,Premium,F,SI1,59.4,60.0,5.77,5.74,3.42,bucket_1,2119.582799634035
862,0.3,Very Good,D,SI1,58.8,57.0,4.4,4.44,2.6,bucket_1,2119.582799634035
863,0.31,Premium,H,VVS1,61.9,58.0,4.34,4.32,2.68,bucket_1,2119.582799634035
864,0.71,Premium,D,SI1,61.3,58.0,5.73,5.75,3.52,bucket_1,2119.582799634035
865,0.7,Very Good,E,SI2,62.0,60.0,5.67,5.72,3.53,bucket_1,2119.582799634035
866,0.32,Ideal,G,VVS1,61.7,56.0,4.37,4.41,2.71,bucket_1,2119.582799634035
867,0.43,Premium,F,VS2,61.0,57.0,4.87,4.84,2.96,bucket_1,2119.582799634035
868,0.32,Ideal,I,VVS2,62.0,54.9,4.36,4.39,2.71,bucket_1,2119.582799634035
869,0.6,Ideal,G,VVS2,61.4,59.0,5.37,5.41,3.31,bucket_1,2119.582799634035
870,0.32,Premium,J,VS1,61.9,58.0,4.39,4.33,2.7,bucket_1,2119.582799634035
871,0.4,Good,E,SI1,63.5,55.0,4.67,4.71,2.98,bucket_1,2119.582799634035
872,0.41,Ideal,F,VS1,60.6,57.0,4.84,4.79,2.92,bucket_1,2119.582799634035
873,0.41,Very Good,H,VS2,60.0,57.0,4.92,4.88,2.94,bucket_1,2119.582799634035
874,0.32,Very Good,I,VS2,63.0,55.0,4.34,4.39,2.75,bucket_1,2119.582799634035
875,0.37,Very Good,E,VS2,61.8,59.0,4.56,4.6,2.83,bucket_1,2119.582799634035
876,0.32,Good,F,SI1,63.2,55.0,4.37,4.4,2.77,bucket_1,2119.582799634035
877,0.75,Ideal,I,VS1,61.1,59.0,5.85,5.87,3.58,bucket_1,2119.582799634035
878,0.3,Very Good,G,VVS2,61.6,56.0,4.27,4.3,2.64,bucket_1,2119.582799634035
879,0.7,Very Good,D,VS1,61.6,58.0,5.67,5.73,3.51,bucket_1,2119.582799634035
880,0.26,Ideal,G,IF,61.7,54.0,4.15,4.18,2.57,bucket_1,2119.582799634035
881,0.3,Very Good,H,VVS1,63.3,59.0,4.28,4.22,2.69,bucket_1,2119.582799634035
882,0.72,Ideal,F,SI2,61.9,54.0,5.83,5.73,3.57,bucket_1,2119.582799634035
883,0.38,Ideal,D,VS1,62.2,57.0,4.66,4.63,2.89,bucket_1,2119.582799634035
884,0.72,Very Good,G,SI2,62.5,56.0,5.68,5.71,3.56,bucket_1,2119.582799634035
885,0.51,Ideal,F,VS1,60.4,56.0,5.18,5.21,3.14,bucket_1,2119.582799634035
886,0.33,Ideal,J,VVS1,62.1,54.0,4.45,4.47,2.77,bucket_1,2119.582799634035
887,0.39,Very Good,J,VVS1,57.8,59.0,4.85,4.9,2.82,bucket_1,2119.582799634035
888,0.3,Very Good,G,VS2,60.8,61.0,4.31,4.34,2.63,bucket_1,2119.582799634035
889,0.55,Ideal,D,VS2,58.5,58.0,5.42,5.39,3.16,bucket_1,2119.582799634035
890,0.32,Ideal,J,VS1,62.0,54.7,4.39,4.42,2.73,bucket_1,2119.582799634035
891,0.4,Premium,G,VS1,60.7,58.0,4.81,4.78,2.91,bucket_1,2119.582799634035
892,0.3,Very Good,H,SI1,63.0,54.0,4.27,4.3,2.7,bucket_1,2119.582799634035
893,0.7,Very Good,H,SI1,58.5,65.0,5.81,5.84,3.41,bucket_1,2119.582799634035
894,0.71,Very Good,E,VVS1,62.8,59.0,5.66,5.71,3.57,bucket_1,2119.582799634035
895,0.31,Ideal,I,VVS1,62.1,56.0,4.38,4.35,2.71,bucket_1,2119.582799634035
896,0.71,Premium,E,VS2,62.1,59.0,5.68,5.72,3.54,bucket_1,2119.582799634035
897,0.41,Premium,G,VS1,61.9,60.0,4.76,4.7,2.93,bucket_1,2119.582799634035
898,0.41,Premium,F,VVS2,60.1,59.0,4.79,4.82,2.89,bucket_1,2119.582799634035
899,0.7,Very Good,F,SI1,59.2,60.0,5.77,5.79,3.42,bucket_1,2119.582799634035
900,0.71,Ideal,G,SI2,61.5,55.0,5.74,5.78,3.54,bucket_1,2119.582799634035
901,0.51,Ideal,D,VS2,62.7,55.0,5.12,5.09,3.2,bucket_1,2119.582799634035
902,0.3,Ideal,D,VS2,61.1,56.0,4.36,4.32,2.65,bucket_1,2119.582799634035
903,0.36,Ideal,G,VVS1,62.8,57.0,4.55,4.52,2.85,bucket_1,2119.582799634035
904,0.51,Very Good,G,VVS1,62.9,57.0,5.08,5.12,3.21,bucket_1,2119.582799634035
905,0.3,Ideal,F,IF,62.1,57.0,4.29,4.31,2.67,bucket_1,2119.582799634035
906,0.3,Very Good,E,VVS2,62.9,55.0,4.25,4.27,2.68,bucket_1,2119.582799634035
907,0.54,Ideal,G,VS1,60.1,57.0,5.29,5.31,3.18,bucket_1,2119.582799634035
908,0.58,Very Good,E,SI1,59.6,57.0,5.41,5.42,3.23,bucket_1,2119.582799634035
909,0.43,Very Good,D,SI1,62.9,56.0,4.78,4.83,3.02,bucket_1,2119.582799634035
910,0.4,Ideal,F,SI2,62.0,57.0,4.7,4.72,2.92,bucket_1,2119.582799634035
911,0.41,Premium,G,VS2,61.9,59.0,4.77,4.73,2.94,bucket_1,2119.582799634035
912,0.35,Ideal,H,VVS1,60.5,57.0,4.58,4.59,2.77,bucket_1,2119.582799634035
913,0.3,Premium,G,SI1,62.5,61.0,4.29,4.26,2.67,bucket_1,2119.582799634035
914,0.31,Ideal,G,VVS2,60.8,56.0,4.41,4.44,2.69,bucket_1,2119.582799634035
915,0.72,Good,G,SI2,63.7,59.0,5.74,5.65,3.63,bucket_1,2119.582799634035
916,0.7,Very Good,F,SI1,60.6,60.0,5.71,5.75,3.47,bucket_1,2119.582799634035
917,0.24,Ideal,H,VS2,61.1,56.0,3.99,4.03,2.45,bucket_1,2119.582799634035
918,0.57,Very Good,E,VS2,59.5,56.0,5.45,5.47,3.25,bucket_1,2119.582799634035
919,0.71,Premium,I,SI1,61.7,56.0,5.73,5.71,3.53,bucket_1,2119.582799634035
920,0.3,Premium,G,VS1,59.6,59.0,4.38,4.34,2.6,bucket_1,2119.582799634035
921,0.52,Premium,E,VS2,61.6,59.0,5.16,5.14,3.17,bucket_1,2119.582799634035
922,0.3,Good,H,VVS1,63.4,57.0,4.27,4.31,2.72,bucket_1,2119.582799634035
923,0.3,Good,E,VS2,64.2,57.0,4.24,4.13,2.69,bucket_1,2119.582799634035
924,0.51,Premium,E,VS2,60.5,56.0,5.24,5.18,3.15,bucket_1,2119.582799634035
925,0.56,Ideal,D,VS2,61.2,56.0,5.3,5.35,3.26,bucket_1,2119.582799634035
926,0.53,Ideal,E,VS2,61.4,56.0,5.18,5.25,3.2,bucket_1,2119.582799634035
927,0.58,Ideal,E,VS2,61.8,57.0,5.32,5.36,3.3,bucket_1,2119.582799634035
928,0.73,Premium,I,VS1,61.2,59.0,5.84,5.82,3.57,bucket_1,2119.582799634035
929,0.7,Very Good,F,VS1,60.5,57.0,5.77,5.8,3.5,bucket_1,2119.582799634035
930,0.59,Ideal,D,IF,60.7,58.0,5.45,5.49,3.32,bucket_1,2119.582799634035
931,0.5,Ideal,G,VVS1,62.2,55.0,5.09,5.11,3.17,bucket_1,2119.582799634035
932,0.42,Ideal,G,VVS2,62.1,57.0,4.8,4.77,2.97,bucket_1,2119.582799634035
933,0.27,Ideal,G,VS1,62.3,53.0,4.16,4.19,2.6,bucket_1,2119.582799634035
934,0.53,Ideal,G,VVS1,61.4,57.0,5.18,5.21,3.19,bucket_1,2119.582799634035
935,0.43,Ideal,F,VVS2,61.9,56.0,4.84,4.82,2.99,bucket_1,2119.582799634035
936,0.4,Premium,G,VS1,61.3,60.0,4.71,4.66,2.87,bucket_1,2119.582799634035
937,0.32,Ideal,F,SI1,61.6,55.0,4.41,4.45,2.73,bucket_1,2119.582799634035
938,0.5,Premium,E,SI1,62.3,60.0,5.16,5.08,3.19,bucket_1,2119.582799634035
939,0.71,Fair,D,SI1,66.3,56.0,5.61,5.49,3.68,bucket_1,2119.582799634035
940,0.32,Premium,E,SI1,62.2,58.0,4.39,4.36,2.72,bucket_1,2119.582799634035
941,0.7,Very Good,F,VS2,61.7,63.0,5.61,5.64,3.47,bucket_1,2119.582799634035
942,0.42,Ideal,E,VS1,61.6,57.0,4.8,4.84,2.97,bucket_1,2119.582799634035
943,0.56,Premium,I,VVS1,60.6,59.0,5.29,5.33,3.22,bucket_1,2119.582799634035
944,0.3,Very Good,E,SI2,58.8,60.0,4.39,4.42,2.59,bucket_1,2119.582799634035
945,0.62,Premium,G,VS2,61.1,59.0,5.56,5.5,3.38,bucket_1,2119.582799634035
946,0.51,Ideal,F,VVS1,61.4,56.0,5.15,5.17,3.17,bucket_1,2119.582799634035
947,0.28,Good,F,VVS2,64.9,57.0,4.13,4.16,2.69,bucket_1,2119.582799634035
948,0.52,Very Good,E,VS2,62.5,56.0,5.15,5.18,3.23,bucket_1,2119.582799634035
949,0.29,Ideal,F,VS2,61.6,56.0,4.28,4.32,2.65,bucket_1,2119.582799634035
950,0.5,Ideal,F,VVS2,62.2,54.0,5.07,5.12,3.17,bucket_1,2119.582799634035
951,0.35,Ideal,E,VS2,61.6,56.0,4.54,4.52,2.79,bucket_1,2119.582799634035
952,0.53,Ideal,E,VS2,61.5,56.0,5.18,5.23,3.2,bucket_1,2119.582799634035
953,0.55,Ideal,F,VS2,60.9,57.0,5.3,5.34,3.24,bucket_1,2119.582799634035
954,0.3,Very Good,D,SI2,61.8,58.0,4.29,4.32,2.66,bucket_1,2119.582799634035
955,0.74,Ideal,G,VVS2,60.9,58.0,5.85,5.88,3.57,bucket_1,2119.582799634035
956,0.3,Ideal,F,SI1,60.6,57.0,4.34,4.37,2.64,bucket_1,2119.582799634035
957,0.57,Ideal,E,VS1,61.0,56.0,5.38,5.4,3.29,bucket_1,2119.582799634035
958,0.26,Ideal,G,SI1,62.2,54.0,4.11,4.12,2.56,bucket_1,2119.582799634035
959,0.31,Ideal,E,VS2,60.5,56.0,4.41,4.38,2.66,bucket_1,2119.582799634035
960,0.57,Good,F,VS1,60.0,61.0,5.35,5.38,3.22,bucket_1,2119.582799634035
961,0.27,Ideal,G,VVS2,62.8,56.0,4.12,4.16,2.6,bucket_1,2119.582799634035
962,0.52,Ideal,G,VVS2,61.0,56.0,5.24,5.18,3.18,bucket_1,2119.582799634035
963,0.43,Ideal,G,IF,61.2,57.0,4.81,4.86,2.96,bucket_1,2119.582799634035
964,0.6,Ideal,G,VVS2,62.0,57.0,5.41,5.46,3.37,bucket_1,2119.582799634035
965,0.36,Premium,D,SI2,61.5,60.0,4.54,4.6,2.81,bucket_1,2119.582799634035
966,0.54,Ideal,E,VVS2,62.2,54.0,5.23,5.26,3.26,bucket_1,2119.582799634035
967,0.53,Very Good,F,SI1,62.5,57.0,5.19,5.24,3.26,bucket_1,2119.582799634035
968,0.4,Ideal,G,VVS1,62.0,55.0,4.74,4.78,2.95,bucket_1,2119.582799634035
969,0.64,Premium,H,SI1,60.0,59.0,5.63,5.57,3.36,bucket_1,2119.582799634035
970,0.35,Very Good,H,VS2,60.1,56.0,4.61,4.64,2.78,bucket_1,2119.582799634035
971,0.73,Ideal,I,SI1,61.7,55.0,5.78,5.82,3.58,bucket_1,2119.582799634035
972,0.7,Premium,F,VS2,60.6,58.0,5.8,5.72,3.49,bucket_1,2119.582799634035
973,0.49,Very Good,H,VVS2,62.3,57.0,5.02,5.05,3.14,bucket_1,2119.582799634035
974,0.54,Good,D,SI1,63.7,57.0,5.22,5.14,3.3,bucket_1,2119.582799634035
975,0.52,Very Good,E,SI2,62.6,58.0,5.11,5.14,3.21,bucket_1,2119.582799634035
976,0.41,Ideal,E,VS1,62.1,56.0,4.78,4.75,2.96,bucket_1,2119.582799634035
977,0.5,Good,E,VVS2,61.6,62.0,5.04,5.09,3.12,bucket_1,2119.582799634035
978,0.44,Ideal,E,SI1,61.1,56.0,4.92,4.9,3.0,bucket_1,2119.582799634035
979,0.73,Ideal,F,VS1,62.6,56.0,5.73,5.71,3.58,bucket_1,2119.582799634035
980,0.56,Ideal,D,VS2,61.9,57.0,5.26,5.3,3.27,bucket_1,2119.582799634035
981,0.42,Very Good,D,SI2,63.1,56.0,4.8,4.74,3.01,bucket_1,2119.582799634035
982,0.72,Ideal,I,VS2,61.8,56.0,5.72,5.77,3.56,bucket_1,2119.582799634035
983,0.41,Ideal,D,VS2,62.4,55.0,4.76,4.79,2.98,bucket_1,2119.582799634035
984,0.72,Ideal,H,VVS1,62.5,57.0,5.7,5.73,3.57,bucket_1,2119.582799634035
985,0.7,Very Good,E,SI2,59.5,56.0,5.79,5.81,3.45,bucket_1,2119.582799634035
986,0.31,Ideal,D,VS1,60.5,55.0,4.43,4.39,2.67,bucket_1,2119.582799634035
987,0.42,Ideal,G,IF,62.7,56.0,4.76,4.77,2.99,bucket_1,2119.582799634035
988,0.3,Premium,F,VS2,60.7,58.0,4.35,4.32,2.63,bucket_1,2119.582799634035
989,0.72,Good,F,SI1,60.4,61.0,5.75,5.8,3.49,bucket_1,2119.582799634035
990,0.53,Good,I,VS1,64.3,55.0,5.17,5.13,3.31,bucket_1,2119.582799634035
991,0.32,Ideal,D,VVS2,61.3,55.8,4.43,4.44,2.71,bucket_1,2119.582799634035
992,0.31,Ideal,D,IF,61.1,56.0,4.39,4.42,2.69,bucket_1,2119.582799634035
993,0.36,Ideal,F,VS1,61.3,54.0,4.63,4.65,2.84,bucket_1,2119.582799634035
994,0.39,Very Good,I,VVS2,62.7,58.0,4.65,4.67,2.92,bucket_1,2119.582799634035
995,0.33,Premium,G,VS1,61.6,58.0,4.44,4.39,2.72,bucket_1,2119.582799634035
996,0.32,Premium,I,IF,60.3,58.0,4.45,4.41,2.67,bucket_1,2119.582799634035
997,0.4,Ideal,F,SI2,62.1,54.0,4.75,4.78,2.96,bucket_1,2119.582799634035
998,0.33,Fair,H,VVS2,65.1,59.0,4.4,4.32,2.84,bucket_1,2119.582799634035
999,0.32,Very Good,G,VVS1,60.9,57.0,4.41,4.44,2.69,bucket_1,2119.582799634035
1000,0.5,Ideal,H,VS2,60.8,56.0,5.17,5.19,3.14,bucket_1,2119.582799634035
1001,0.33,Good,I,VS1,63.1,56.0,4.38,4.4,2.77,bucket_1,2119.582799634035
1002,0.27,Fair,E,VS1,66.4,58.0,3.99,4.02,2.66,bucket_1,2119.582799634035
1003,0.4,Very Good,E,SI1,60.8,62.0,4.72,4.76,2.88,bucket_1,2119.582799634035
1004,0.3,Very Good,E,VS2,61.9,61.0,4.28,4.32,2.66,bucket_1,2119.582799634035
1005,0.64,Very Good,D,SI1,63.7,54.0,5.47,5.52,3.5,bucket_1,2119.582799634035
1006,0.41,Very Good,E,SI1,62.9,57.0,4.72,4.76,2.98,bucket_1,2119.582799634035
1007,0.31,Very Good,G,SI1,61.5,59.0,4.34,4.38,2.68,bucket_1,2119.582799634035
1008,0.31,Very Good,E,VVS1,60.0,56.0,4.45,4.49,2.68,bucket_1,2119.582799634035
1009,0.34,Premium,D,SI1,62.8,58.0,4.48,4.44,2.8,bucket_1,2119.582799634035
1010,0.73,Ideal,G,VS2,61.7,56.0,5.79,5.81,3.58,bucket_1,2119.582799634035
1011,0.34,Good,E,SI1,63.3,57.0,4.44,4.47,2.82,bucket_1,2119.582799634035
1012,0.54,Ideal,G,VS1,61.8,55.3,5.22,5.24,3.23,bucket_1,2119.582799634035
1013,0.31,Very Good,H,SI1,61.0,61.0,4.33,4.39,2.66,bucket_1,2119.582799634035
1014,0.72,Very Good,I,VS2,61.8,60.0,5.72,5.76,3.55,bucket_1,2119.582799634035
1015,0.3,Good,G,SI2,63.3,57.0,4.25,4.28,2.7,bucket_1,2119.582799634035
1016,0.54,Good,E,VS2,60.2,61.0,5.27,5.32,3.19,bucket_1,2119.582799634035
1017,0.3,Ideal,G,IF,60.9,56.0,4.34,4.36,2.65,bucket_1,2119.582799634035
1018,0.41,Ideal,E,SI1,62.9,57.0,4.76,4.72,2.98,bucket_1,2119.582799634035
1019,0.52,Very Good,D,SI2,62.4,59.0,5.05,5.15,3.18,bucket_1,2119.582799634035
1020,0.36,Ideal,H,VVS1,62.0,54.0,4.59,4.61,2.85,bucket_1,2119.582799634035
1021,0.51,Premium,D,SI1,62.7,59.0,5.08,5.06,3.18,bucket_1,2119.582799634035
1022,0.53,Premium,J,VS2,62.7,56.0,5.18,5.15,3.24,bucket_1,2119.582799634035
1023,0.7,Good,F,I1,63.9,60.0,5.65,5.52,3.58,bucket_1,2119.582799634035
1024,0.34,Ideal,H,VS2,61.2,55.0,4.49,4.53,2.76,bucket_1,2119.582799634035
1025,0.39,Premium,E,VS2,60.1,61.0,4.76,4.72,2.85,bucket_1,2119.582799634035
1026,0.3,Very Good,F,VVS1,62.6,56.0,4.27,4.29,2.68,bucket_1,2119.582799634035
1027,0.32,Ideal,H,VS1,61.8,55.0,4.41,4.42,2.73,bucket_1,2119.582799634035
1028,0.24,Very Good,G,VVS1,61.7,56.0,3.98,4.02,2.46,bucket_1,2119.582799634035
1029,0.41,Very Good,E,SI2,62.9,58.0,4.74,4.77,2.99,bucket_1,2119.582799634035
1030,0.28,Very Good,D,VVS1,60.6,58.0,4.23,4.25,2.57,bucket_1,2119.582799634035
1031,0.31,Premium,D,SI1,60.9,60.0,4.38,4.39,2.67,bucket_1,2119.582799634035
1032,0.45,Good,F,VS2,56.8,62.0,5.1,5.14,2.91,bucket_1,2119.582799634035
1033,0.44,Very Good,E,VS1,60.7,58.0,4.88,4.91,2.97,bucket_1,2119.582799634035
1034,0.37,Ideal,F,VVS1,61.3,56.0,4.65,4.68,2.86,bucket_1,2119.582799634035
1035,0.53,Ideal,F,SI2,62.2,53.0,5.19,5.22,3.24,bucket_1,2119.582799634035
1036,0.54,Premium,I,IF,58.8,61.0,5.35,5.29,3.13,bucket_1,2119.582799634035
1037,0.32,Ideal,F,IF,61.3,57.0,4.42,4.46,2.72,bucket_1,2119.582799634035
1038,0.56,Premium,E,VVS2,59.2,56.0,5.49,5.39,3.22,bucket_1,2119.582799634035
1039,0.43,Ideal,H,IF,62.2,55.0,4.87,4.84,3.02,bucket_1,2119.582799634035
1040,0.52,Ideal,G,VS1,62.1,54.0,5.14,5.17,3.2,bucket_1,2119.582799634035
1041,0.38,Very Good,G,SI1,61.8,53.7,4.67,4.69,2.9,bucket_1,2119.582799634035
1042,0.31,Very Good,H,SI1,61.7,59.0,4.36,4.39,2.7,bucket_1,2119.582799634035
1043,0.56,Ideal,E,VVS2,61.0,56.0,5.32,5.36,3.26,bucket_1,2119.582799634035
1044,0.42,Ideal,G,IF,62.0,57.0,4.82,4.8,2.98,bucket_1,2119.582799634035
1045,0.34,Very Good,I,SI1,61.3,61.0,4.45,4.49,2.74,bucket_1,2119.582799634035
1046,0.43,Ideal,G,VS1,62.3,56.0,4.82,4.85,3.01,bucket_1,2119.582799634035
1047,0.32,Very Good,G,VS2,60.2,57.0,4.42,4.45,2.67,bucket_1,2119.582799634035
1048,0.31,Ideal,E,VS1,61.4,56.0,4.38,4.35,2.68,bucket_1,2119.582799634035
1049,0.7,Very Good,J,VS2,61.1,61.0,5.64,5.69,3.46,bucket_1,2119.582799634035
1050,0.41,Ideal,G,VS2,61.4,59.0,4.78,4.76,2.93,bucket_1,2119.582799634035
1051,0.52,Premium,G,SI1,59.7,60.0,5.22,5.2,3.11,bucket_1,2119.582799634035
1052,0.51,Very Good,D,VS2,60.5,60.0,5.16,5.19,3.13,bucket_1,2119.582799634035
1053,0.3,Premium,D,SI1,61.7,59.0,4.28,4.31,2.65,bucket_1,2119.582799634035
1054,0.39,Good,D,VVS2,58.1,60.0,4.82,4.85,2.81,bucket_1,2119.582799634035
1055,0.38,Premium,G,IF,62.5,60.0,4.64,4.61,2.89,bucket_1,2119.582799634035
1056,0.3,Very Good,F,IF,62.1,57.0,4.26,4.3,2.66,bucket_1,2119.582799634035
1057,0.41,Premium,D,VVS1,62.2,58.0,4.77,4.71,2.95,bucket_1,2119.582799634035
1058,0.36,Ideal,D,SI1,62.5,56.0,4.55,4.57,2.85,bucket_1,2119.582799634035
1059,0.4,Premium,D,SI1,61.4,56.0,4.83,4.72,2.93,bucket_1,2119.582799634035
1060,0.33,Good,I,VS1,63.2,57.0,4.37,4.4,2.77,bucket_1,2119.582799634035
